latitude,longitude,temperature,humidity,wind_speed,timestamp
-33.8688,151.2093,35.2,45.3,15.2,2023-01-01 12:00:00
-34.0250,151.1000,37.8,42.1,18.7,2023-01-01 13:00:00
-33.9000,151.1500,36.5,44.8,12.4,2023-01-01 14:00:00
-33.7500,151.0000,38.2,40.5,22.1,2023-01-01 15:00:00
-33.6000,150.8000,39.1,38.7,25.6,2023-01-01 16:00:00
-33.4500,150.6000,40.3,37.2,28.3,2023-01-01 17:00:00
-33.3000,150.4000,41.8,35.1,31.2,2023-01-01 18:00:00
-33.1500,150.2000,42.5,33.8,33.7,2023-01-01 19:00:00
-33.0000,150.0000,43.2,32.4,35.8,2023-01-01 20:00:00
-32.8500,149.8000,44.1,31.2,37.4,2023-01-01 21:00:00
-32.7000,149.6000,45.3,29.8,39.2,2023-01-01 22:00:00
-32.5500,149.4000,46.2,28.7,41.3,2023-01-01 23:00:00
-32.4000,149.2000,47.1,27.5,43.1,2023-01-02 00:00:00
-32.2500,149.0000,48.3,26.2,45.2,2023-01-02 01:00:00
-32.1000,148.8000,49.2,25.1,47.3,2023-01-02 02:00:00
-31.9500,148.6000,50.1,24.3,49.1,2023-01-02 03:00:00
-31.8000,148.4000,51.2,23.2,51.2,2023-01-02 04:00:00
-31.6500,148.2000,52.3,22.1,53.3,2023-01-02 05:00:00
-31.5000,148.0000,53.2,21.3,55.1,2023-01-02 06:00:00
-31.3500,147.8000,54.1,20.2,57.2,2023-01-02 07:00:00
