lat,lon,velocity_x,velocity_y,temperature,depth
-10.0,120.0,0.5,0.3,25.3,0.0
-10.0,120.5,0.6,0.4,25.5,0.0
-10.0,121.0,0.7,0.5,25.7,0.0
-10.0,121.5,0.8,0.6,25.9,0.0
-10.0,122.0,0.9,0.7,26.1,0.0
-9.5,120.0,0.4,0.5,25.4,0.0
-9.5,120.5,0.5,0.6,25.6,0.0
-9.5,121.0,0.6,0.7,25.8,0.0
-9.5,121.5,0.7,0.8,26.0,0.0
-9.5,122.0,0.8,0.9,26.2,0.0
-9.0,120.0,0.3,0.7,25.5,0.0
-9.0,120.5,0.4,0.8,25.7,0.0
-9.0,121.0,0.5,0.9,25.9,0.0
-9.0,121.5,0.6,1.0,26.1,0.0
-9.0,122.0,0.7,1.1,26.3,0.0
-8.5,120.0,0.2,0.9,25.6,0.0
-8.5,120.5,0.3,1.0,25.8,0.0
-8.5,121.0,0.4,1.1,26.0,0.0
-8.5,121.5,0.5,1.2,26.2,0.0
-8.5,122.0,0.6,1.3,26.4,0.0
