latitude,longitude,temperature,humidity,wind_speed,fire_intensity,elevation,time_hours
-37.123,144.567,42.3,15.2,18.5,85.2,245,0
-37.125,144.569,43.1,14.8,19.2,87.5,252,0
-37.127,144.571,41.8,16.1,17.8,82.1,238,0
-37.129,144.573,44.2,13.5,21.3,92.8,264,0
-37.131,144.575,42.7,15.6,18.9,86.4,249,0
-37.133,144.577,43.8,14.2,20.1,89.7,258,0
-37.135,144.579,41.5,16.8,17.2,81.3,235,0
-37.137,144.581,45.1,12.9,22.7,95.6,271,0
-37.139,144.583,42.9,15.4,19.3,87.8,253,0
-37.141,144.585,44.5,13.7,21.8,94.2,268,0
-37.143,144.587,41.2,17.1,16.9,79.8,231,0
-37.145,144.589,43.6,14.6,20.5,90.3,261,0
-37.147,144.591,42.1,15.9,18.1,83.7,242,0
-37.149,144.593,44.8,13.1,22.1,96.4,274,0
-37.151,144.595,41.9,16.5,17.6,82.9,239,0
-37.125,144.567,44.7,14.1,19.8,89.1,252,1
-37.127,144.569,45.2,13.4,20.5,91.8,258,1
-37.129,144.571,43.3,15.7,18.2,85.6,245,1
-37.131,144.573,46.1,12.8,22.9,97.2,271,1
-37.133,144.575,44.9,14.5,20.2,90.7,264,1
-37.135,144.577,45.8,13.1,21.6,94.3,268,1
-37.137,144.579,43.1,16.2,17.9,84.2,249,1
-37.139,144.581,47.2,11.9,24.3,99.8,278,1
-37.141,144.583,45.3,13.8,21.1,92.4,265,1
-37.143,144.585,46.7,12.5,23.5,98.1,275,1
-37.145,144.587,42.8,16.8,17.5,83.9,246,1
-37.147,144.589,45.1,14.3,20.8,91.2,262,1
-37.149,144.591,44.6,15.1,19.4,88.7,254,1
-37.151,144.593,47.9,11.2,25.1,101.3,281,1
-37.153,144.595,43.5,16.4,18.7,86.1,250,1
-37.127,144.567,46.8,12.7,21.3,95.7,258,2
-37.129,144.569,47.5,11.9,22.1,98.4,265,2
-37.131,144.571,44.9,15.3,19.6,89.8,252,2
-37.133,144.573,48.2,10.8,24.7,102.6,278,2
-37.135,144.575,47.1,12.4,21.9,96.9,271,2
-37.137,144.577,48.9,10.1,25.8,105.2,285,2
-37.139,144.579,45.3,15.8,18.9,91.4,258,2
-37.141,144.581,49.3,9.7,26.4,107.8,289,2
-37.143,144.583,47.6,11.6,22.7,99.1,274,2
-37.145,144.585,50.1,9.2,27.9,110.5,295,2
-37.147,144.587,44.1,16.7,17.8,87.3,249,2
-37.149,144.589,47.9,12.1,23.3,101.7,278,2
-37.151,144.591,46.2,14.2,20.5,93.6,264,2
-37.153,144.593,51.8,8.5,29.1,114.2,302,2
-37.155,144.595,45.7,15.9,19.8,92.1,260,2
-37.129,144.567,48.7,11.3,23.8,103.4,265,3
-37.131,144.569,49.4,10.5,24.6,106.1,272,3
-37.133,144.571,46.8,14.1,21.2,97.8,258,3
-37.135,144.573,50.3,9.1,26.9,109.7,285,3
-37.137,144.575,48.9,10.8,24.1,104.8,278,3
-37.139,144.577,52.1,7.9,28.7,115.3,295,3
-37.141,144.579,47.2,13.5,22.4,99.6,265,3
-37.143,144.581,53.7,6.8,31.2,119.8,308,3
-37.145,144.583,49.8,9.7,25.3,107.9,282,3
-37.147,144.585,54.9,5.9,33.1,125.4,315,3
-37.149,144.587,45.9,15.2,20.7,94.3,252,3
-37.151,144.589,50.1,10.4,26.8,110.2,289,3
-37.153,144.591,48.3,12.8,23.9,102.1,271,3
-37.155,144.593,56.2,4.7,35.8,131.7,325,3
-37.157,144.595,47.4,14.6,21.5,98.7,258,3
-37.131,144.567,50.9,9.8,26.2,111.8,272,4
-37.133,144.569,51.6,9.0,27.1,114.5,279,4
-37.135,144.571,48.7,12.4,23.8,105.2,265,4
-37.137,144.573,53.2,7.3,29.6,120.9,292,4
-37.139,144.575,51.1,8.6,26.7,113.1,285,4
-37.141,144.577,55.8,5.2,32.4,127.6,308,4
-37.143,144.579,49.3,11.8,25.1,107.4,271,4
-37.145,144.581,57.4,4.1,35.2,134.8,322,4
-37.147,144.583,52.7,7.9,28.9,118.3,295,4
-37.149,144.585,59.1,3.2,38.7,142.5,338,4
-37.151,144.587,47.8,13.7,22.6,101.9,258,4
-37.153,144.589,53.9,6.8,30.4,122.7,305,4
-37.155,144.591,50.4,10.1,26.9,112.6,278,4
-37.157,144.593,61.3,2.4,41.9,149.2,352,4
-37.159,144.595,49.1,12.3,24.7,106.8,265,4
-37.133,144.567,52.8,8.1,28.7,117.9,279,5
-37.135,144.569,53.5,7.3,29.6,120.6,286,5
-37.137,144.571,50.6,11.5,26.3,110.3,272,5
-37.139,144.573,55.1,5.8,32.1,126.0,299,5
-37.141,144.575,53.0,7.7,28.2,118.2,292,5
-37.143,144.577,58.7,3.7,36.9,138.1,315,5
-37.145,144.579,51.2,10.9,27.4,113.5,279,5
-37.147,144.581,60.3,2.6,40.1,145.7,329,5
-37.149,144.583,54.6,6.4,31.4,124.8,302,5
-37.151,144.585,62.8,1.8,43.6,154.3,345,5
-37.153,144.587,49.7,12.8,25.9,109.1,265,5
-37.155,144.589,56.8,5.3,33.7,129.4,312,5
-37.157,144.591,52.3,8.6,29.1,116.7,285,5
-37.159,144.593,64.9,1.1,46.2,162.8,362,5
-37.161,144.595,51.0,11.2,27.8,114.9,272,5
-37.135,144.567,54.7,6.4,31.2,125.4,286,6
-37.137,144.569,55.4,5.6,32.1,128.1,293,6
-37.139,144.571,52.5,9.6,28.8,117.8,279,6
-37.141,144.573,57.0,4.9,34.6,131.5,306,6
-37.143,144.575,54.9,6.8,30.7,123.7,299,6
-37.145,144.577,61.6,2.3,39.4,144.2,322,6
-37.147,144.579,53.1,9.0,29.9,120.0,286,6
-37.149,144.581,63.2,1.7,42.6,151.8,336,6
-37.151,144.583,56.5,5.5,33.9,130.3,309,6
-37.153,144.585,65.7,0.9,45.8,159.4,352,6
-37.155,144.587,51.6,11.9,28.4,116.2,272,6
-37.157,144.589,59.7,3.8,37.2,136.9,319,6
-37.159,144.591,54.2,7.7,31.6,124.1,292,6
-37.161,144.593,67.8,0.3,49.1,167.5,369,6
