latitude,longitude,depth,u_velocity,v_velocity,w_velocity,temperature,salinity,pressure
-42.123,147.234,5,0.234,-0.156,0.012,18.5,34.2,1005.2
-42.125,147.236,5,0.218,-0.143,0.009,18.3,34.1,1005.3
-42.127,147.238,5,0.241,-0.167,0.014,18.7,34.3,1005.1
-42.129,147.240,5,0.203,-0.129,0.007,18.1,34.0,1005.4
-42.131,147.242,5,0.256,-0.178,0.016,18.9,34.4,1004.9
-42.133,147.244,5,0.189,-0.112,0.005,17.8,33.9,1005.6
-42.135,147.246,5,0.271,-0.194,0.018,19.2,34.5,1004.7
-42.137,147.248,5,0.167,-0.098,0.003,17.6,33.8,1005.8
-42.139,147.250,5,0.293,-0.209,0.021,19.4,34.6,1004.5
-42.141,147.252,5,0.145,-0.081,0.001,17.3,33.7,1006.0
-42.143,147.254,5,0.312,-0.223,0.023,19.7,34.8,1004.3
-42.145,147.256,5,0.128,-0.067,-0.001,17.1,33.6,1006.2
-42.147,147.258,5,0.334,-0.241,0.025,19.9,34.9,1004.1
-42.149,147.260,5,0.109,-0.051,-0.003,16.8,33.4,1006.4
-42.151,147.262,5,0.356,-0.258,0.028,20.2,35.1,1003.9
-42.123,147.234,25,0.198,-0.134,0.008,17.2,34.4,1025.8
-42.125,147.236,25,0.187,-0.125,0.006,17.0,34.3,1025.9
-42.127,147.238,25,0.206,-0.145,0.010,17.4,34.5,1025.7
-42.129,147.240,25,0.176,-0.114,0.004,16.8,34.2,1026.0
-42.131,147.242,25,0.223,-0.158,0.012,17.6,34.6,1025.5
-42.133,147.244,25,0.165,-0.098,0.002,16.5,34.1,1026.2
-42.135,147.246,25,0.245,-0.172,0.015,17.9,34.7,1025.3
-42.137,147.248,25,0.154,-0.087,0.000,16.3,34.0,1026.4
-42.139,147.250,25,0.267,-0.189,0.017,18.1,34.8,1025.1
-42.141,147.252,25,0.142,-0.073,-0.002,16.0,33.9,1026.6
-42.143,147.254,25,0.289,-0.205,0.020,18.4,35.0,1024.9
-42.145,147.256,25,0.131,-0.061,-0.004,15.8,33.8,1026.8
-42.147,147.258,25,0.312,-0.223,0.022,18.6,35.1,1024.7
-42.149,147.260,25,0.119,-0.048,-0.006,15.5,33.6,1027.0
-42.151,147.262,25,0.334,-0.241,0.025,18.9,35.3,1024.5
-42.123,147.234,50,0.145,-0.098,0.003,15.8,34.6,1050.2
-42.125,147.236,50,0.139,-0.092,0.002,15.6,34.5,1050.3
-42.127,147.238,50,0.152,-0.105,0.004,16.0,34.7,1050.1
-42.129,147.240,50,0.132,-0.084,0.001,15.4,34.4,1050.4
-42.131,147.242,50,0.167,-0.114,0.006,16.2,34.8,1049.9
-42.133,147.244,50,0.124,-0.073,-0.001,15.1,34.3,1050.6
-42.135,147.246,50,0.183,-0.127,0.008,16.5,34.9,1049.7
-42.137,147.248,50,0.115,-0.065,-0.003,14.9,34.2,1050.8
-42.139,147.250,50,0.198,-0.139,0.010,16.7,35.0,1049.5
-42.141,147.252,50,0.107,-0.056,-0.005,14.6,34.1,1051.0
-42.143,147.254,50,0.214,-0.153,0.012,17.0,35.2,1049.3
-42.145,147.256,50,0.098,-0.047,-0.007,14.4,34.0,1051.2
-42.147,147.258,50,0.231,-0.167,0.014,17.2,35.3,1049.1
-42.149,147.260,50,0.089,-0.038,-0.009,14.1,33.8,1051.4
-42.151,147.262,50,0.247,-0.181,0.017,17.5,35.5,1048.9
-42.123,147.234,100,0.087,-0.059,-0.004,13.2,34.8,1100.8
-42.125,147.236,100,0.084,-0.056,-0.005,13.0,34.7,1100.9
-42.127,147.238,100,0.091,-0.063,-0.003,13.4,34.9,1100.7
-42.129,147.240,100,0.081,-0.053,-0.006,12.8,34.6,1101.0
-42.131,147.242,100,0.098,-0.068,-0.001,13.6,35.0,1100.5
-42.133,147.244,100,0.078,-0.050,-0.007,12.5,34.5,1101.2
-42.135,147.246,100,0.106,-0.074,0.001,13.9,35.1,1100.3
-42.137,147.248,100,0.074,-0.047,-0.009,12.3,34.4,1101.4
