latitude,longitude,altitude,wind_u,wind_v,wind_w,wind_speed,wind_direction,temperature,pressure,humidity
-33.867,151.207,10,5.2,8.3,0.2,9.8,122.5,22.3,1013.2,68.5
-33.869,151.209,10,4.8,7.9,0.1,9.3,120.8,22.1,1013.4,69.2
-33.871,151.211,10,5.6,8.7,0.3,10.3,124.1,22.5,1013.0,67.8
-33.873,151.213,10,4.4,7.5,0.0,8.7,119.3,21.9,1013.6,70.1
-33.875,151.215,10,6.0,9.1,0.4,10.9,125.7,22.7,1012.8,67.1
-33.877,151.217,10,4.1,7.1,-0.1,8.2,117.9,21.7,1013.8,71.3
-33.879,151.219,10,6.3,9.5,0.5,11.4,127.2,22.9,1012.6,66.4
-33.881,151.221,10,3.7,6.8,-0.2,7.7,116.5,21.5,1014.0,72.5
-33.883,151.223,10,6.7,9.8,0.6,11.8,128.8,23.1,1012.4,65.7
-33.885,151.225,10,3.4,6.4,-0.3,7.3,115.0,21.3,1014.2,73.8
-33.867,151.207,50,8.4,12.6,0.8,15.2,123.7,20.8,1008.5,58.3
-33.869,151.209,50,7.9,11.9,0.7,14.3,122.1,20.6,1008.7,59.1
-33.871,151.211,50,9.0,13.4,0.9,16.1,125.2,21.0,1008.3,57.5
-33.873,151.213,50,7.4,11.2,0.5,13.4,120.8,20.4,1008.9,60.2
-33.875,151.215,50,9.5,14.1,1.1,16.9,126.8,21.2,1008.1,56.7
-33.877,151.217,50,6.9,10.5,0.4,12.6,119.4,20.2,1009.1,61.4
-33.879,151.219,50,10.1,14.8,1.2,17.8,128.3,21.4,1007.9,55.9
-33.881,151.221,50,6.4,9.8,0.2,11.7,118.0,20.0,1009.3,62.6
-33.883,151.223,50,10.6,15.6,1.4,18.6,129.9,21.6,1007.7,55.1
-33.885,151.225,50,5.9,9.1,0.1,10.9,116.7,19.8,1009.5,63.9
-33.867,151.207,100,12.3,18.2,1.5,21.9,124.1,19.2,1000.8,48.7
-33.869,151.209,100,11.6,17.1,1.3,20.6,122.6,19.0,1001.0,49.5
-33.871,151.211,100,13.1,19.4,1.7,23.3,125.6,19.4,1000.6,47.9
-33.873,151.213,100,10.9,16.0,1.1,19.4,121.2,18.8,1001.2,50.8
-33.875,151.215,100,13.9,20.5,1.9,24.6,127.1,19.6,1000.4,47.1
-33.877,151.217,100,10.2,15.0,0.9,18.1,119.8,18.6,1001.4,52.1
-33.879,151.219,100,14.7,21.7,2.1,25.9,128.7,19.8,1000.2,46.3
-33.881,151.221,100,9.5,13.9,0.7,16.9,118.4,18.4,1001.6,53.4
-33.883,151.223,100,15.4,22.8,2.3,27.3,130.2,20.0,1000.0,45.5
-33.885,151.225,100,8.8,12.9,0.5,15.6,117.0,18.2,1001.8,54.7
-33.867,151.207,200,18.5,26.8,2.8,32.4,124.6,17.1,990.2,35.8
-33.869,151.209,200,17.4,25.2,2.5,30.6,123.2,16.9,990.4,36.7
-33.871,151.211,200,19.7,28.5,3.1,34.2,126.0,17.3,990.0,35.0
-33.873,151.213,200,16.3,23.6,2.2,28.8,121.8,16.7,990.6,38.1
-33.875,151.215,200,20.8,30.1,3.4,35.9,127.4,17.5,989.8,34.1
-33.877,151.217,200,15.2,22.0,1.9,27.0,120.4,16.5,990.8,39.5
-33.879,151.219,200,22.0,31.8,3.7,37.7,128.9,17.7,989.6,33.3
-33.881,151.221,200,14.1,20.4,1.6,25.1,119.0,16.3,991.0,40.9
-33.883,151.223,200,23.1,33.4,4.0,39.4,130.3,17.9,989.4,32.4
-33.885,151.225,200,13.0,18.8,1.3,23.3,117.6,16.1,991.2,42.3
-33.887,151.227,10,3.1,5.8,-0.4,6.6,111.8,21.1,1014.4,75.2
-33.889,151.229,10,6.9,10.2,0.7,12.3,129.6,23.3,1012.2,64.9
-33.891,151.231,10,2.8,5.2,-0.5,5.9,108.4,20.9,1014.6,76.7
-33.893,151.233,10,7.3,10.7,0.8,12.9,131.8,23.5,1012.0,64.1
-33.895,151.235,10,2.5,4.6,-0.6,5.3,105.1,20.7,1014.8,78.2
-33.897,151.237,10,7.6,11.1,0.9,13.4,133.7,23.7,1011.8,63.3
-33.899,151.239,10,2.2,4.0,-0.7,4.6,101.7,20.5,1015.0,79.8
-33.901,151.241,10,8.0,11.6,1.0,14.0,135.7,23.9,1011.6,62.5
-33.903,151.243,10,1.9,3.4,-0.8,3.9,98.4,20.3,1015.2,81.4
-33.905,151.245,10,8.3,12.1,1.1,14.6,137.6,24.1,1011.4,61.7
-33.887,151.227,50,5.5,8.9,0.0,10.4,112.9,19.6,1009.7,65.2
-33.889,151.229,50,10.9,16.0,1.3,19.1,129.8,21.8,1007.5,53.8
-33.891,151.231,50,5.1,8.2,-0.2,9.7,111.5,19.4,1009.9,66.8
-33.893,151.233,50,11.4,16.8,1.5,20.1,132.1,22.0,1007.3,52.9
-33.895,151.235,50,4.7,7.5,-0.4,8.9,109.2,19.2,1010.1,68.4
-33.897,151.237,50,11.9,17.5,1.7,21.0,134.2,22.2,1007.1,52.0
-33.899,151.239,50,4.3,6.8,-0.6,8.1,106.8,19.0,1010.3,70.1
-33.901,151.241,50,12.4,18.3,1.9,22.0,136.4,22.4,1006.9,51.1
-33.903,151.243,50,3.9,6.1,-0.8,7.3,104.5,18.8,1010.5,71.8
-33.905,151.245,50,12.9,19.0,2.1,22.9,138.5,22.6,1006.7,50.2
-33.887,151.227,100,8.2,13.4,0.3,15.7,113.4,18.0,1002.0,56.3
-33.889,151.229,100,16.3,23.9,2.4,28.6,130.2,20.2,999.8,42.7
-33.891,151.231,100,7.6,12.1,0.0,14.3,111.9,17.8,1002.2,58.1
-33.893,151.233,100,17.1,25.1,2.7,30.1,132.7,20.4,999.6,41.8
-33.895,151.235,100,7.0,11.3,-0.3,13.3,110.5,17.6,1002.4,59.9
-33.897,151.237,100,17.9,26.3,2.9,31.5,134.9,20.6,999.4,40.9
-33.899,151.239,100,6.4,10.0,-0.6,11.9,108.1,17.4,1002.6,61.8
-33.901,151.241,100,18.6,27.4,3.2,32.9,137.2,20.8,999.2,40.0
-33.903,151.243,100,5.8,9.2,-0.9,10.9,106.7,17.2,1002.8,63.7
-33.905,151.245,100,19.4,28.6,3.4,34.4,139.4,21.0,999.0,39.1
-33.887,151.227,200,12.3,18.9,0.8,22.6,114.0,15.9,991.4,43.8
-33.889,151.229,200,24.5,35.8,4.1,43.0,130.6,18.1,989.2,29.3
-33.891,151.231,200,11.4,17.5,0.5,21.0,112.6,15.7,991.6,45.7
-33.893,151.233,200,25.7,37.6,4.5,45.1,133.4,18.3,989.0,28.4
-33.895,151.235,200,10.5,16.1,0.2,19.3,111.2,15.5,991.8,47.6
-33.897,151.237,200,26.9,39.3,4.9,47.2,135.9,18.5,988.8,27.5
-33.899,151.239,200,9.6,14.7,-0.1,17.7,109.8,15.3,992.0,49.6
-33.901,151.241,200,28.0,40.9,5.2,49.3,138.5,18.7,988.6,26.6
-33.903,151.243,200,8.7,13.3,-0.4,16.0,108.4,15.1,992.2,51.5
-33.905,151.245,200,29.2,42.6,5.6,51.4,141.0,18.9,988.4,25.7
